# Running on b18
# Started at Thu Apr 18 20:11:19 EDT 2024
# hyp_utils/conda_env.sh preprocess-audio-files.py --output-audio-format flac --remove-dc-offset --write-time-durs /home/mkhelfi1/hyperion/egs/adc24/exp/musan_noise_proc_audio/utt2dur.musan_noise.4 --part-idx 4 --num-parts 10 --input data/musan_noise/wav.scp --output-path /home/mkhelfi1/hyperion/egs/adc24/exp/musan_noise_proc_audio --output-script /home/mkhelfi1/hyperion/egs/adc24/exp/musan_noise_proc_audio/wav.musan_noise.4.scp 
Python 3.6.13 :: Anaconda, Inc.
2024-04-18 20:12:24,369 (preprocess-audio-files:57) INFO: input_args={'part_idx': 4, 'num_parts': 10, 'wav_scale': 32767}
2024-04-18 20:12:24,369 (preprocess-audio-files:58) INFO: output_args={'audio_format': 'flac', 'audio_subtype': None}
2024-04-18 20:12:24,526 (preprocess-audio-files:74) INFO: Processing audio noise-free-sound-0279
2024-04-18 20:12:24,526 (preprocess-audio-files:94) INFO: utt n detected 17.333313/17.333313 secs (100.00 %) speech 
2024-04-18 20:12:24,597 (preprocess-audio-files:126) INFO: Packed audio noise-free-sound-0279 length=17.333 secs elapsed-time=223.04 ms. read-time=152.58 ms. write-time=70.45 ms. real-time-factor=77.72x-range=[-32783.833444-32507.173972]
2024-04-18 20:12:25,333 (preprocess-audio-files:74) INFO: Processing audio noise-free-sound-0280
2024-04-18 20:12:25,334 (preprocess-audio-files:94) INFO: utt n detected 62.103250/62.103250 secs (100.00 %) speech 
2024-04-18 20:12:25,412 (preprocess-audio-files:126) INFO: Packed audio noise-free-sound-0280 length=62.103 secs elapsed-time=814.69 ms. read-time=736.92 ms. write-time=77.77 ms. real-time-factor=76.23x-range=[-29300.362070-32855.741018]
2024-04-18 20:12:25,453 (preprocess-audio-files:74) INFO: Processing audio noise-free-sound-0281
2024-04-18 20:12:25,453 (preprocess-audio-files:94) INFO: utt n detected 0.100000/0.100000 secs (100.00 %) speech 
2024-04-18 20:12:25,458 (preprocess-audio-files:126) INFO: Packed audio noise-free-sound-0281 length=0.100 secs elapsed-time=46.13 ms. read-time=41.43 ms. write-time=4.70 ms. real-time-factor=2.17x-range=[-32796.210984-32538.795089]
2024-04-18 20:12:25,538 (preprocess-audio-files:74) INFO: Processing audio noise-free-sound-0282
2024-04-18 20:12:25,538 (preprocess-audio-files:94) INFO: utt n detected 37.726750/37.726750 secs (100.00 %) speech 
2024-04-18 20:12:25,587 (preprocess-audio-files:126) INFO: Packed audio noise-free-sound-0282 length=37.727 secs elapsed-time=129.28 ms. read-time=79.95 ms. write-time=49.33 ms. real-time-factor=291.82x-range=[-31150.051858-32764.997550]
