# Running on c12
# Started at Thu Apr 18 20:13:31 EDT 2024
# hyp_utils/conda_env.sh preprocess-audio-files.py --output-audio-format flac --remove-dc-offset --write-time-durs /home/mkhelfi1/hyperion/egs/adc24/exp/musan_music_proc_audio/utt2dur.musan_music.10 --part-idx 10 --num-parts 10 --input data/musan_music/wav.scp --output-path /home/mkhelfi1/hyperion/egs/adc24/exp/musan_music_proc_audio --output-script /home/mkhelfi1/hyperion/egs/adc24/exp/musan_music_proc_audio/wav.musan_music.10.scp 
Python 3.6.13 :: Anaconda, Inc.
2024-04-18 20:13:35,898 (preprocess-audio-files:57) INFO: input_args={'part_idx': 10, 'num_parts': 10, 'wav_scale': 32767}
2024-04-18 20:13:35,898 (preprocess-audio-files:58) INFO: output_args={'audio_format': 'flac', 'audio_subtype': None}
2024-04-18 20:13:37,370 (preprocess-audio-files:74) INFO: Processing audio music-rfm-0082
2024-04-18 20:13:37,370 (preprocess-audio-files:94) INFO: utt m detected 237.374687/237.374687 secs (100.00 %) speech 
2024-04-18 20:13:37,552 (preprocess-audio-files:126) INFO: Packed audio music-rfm-0082 length=237.375 secs elapsed-time=1650.99 ms. read-time=1468.83 ms. write-time=182.15 ms. real-time-factor=143.78x-range=[-32765.998918-31915.027114]
2024-04-18 20:13:38,975 (preprocess-audio-files:74) INFO: Processing audio music-rfm-0083
2024-04-18 20:13:38,975 (preprocess-audio-files:94) INFO: utt m detected 237.792625/237.792625 secs (100.00 %) speech 
2024-04-18 20:13:39,157 (preprocess-audio-files:126) INFO: Packed audio music-rfm-0083 length=237.793 secs elapsed-time=1604.65 ms. read-time=1423.12 ms. write-time=181.52 ms. real-time-factor=148.19x-range=[-33262.025829-31681.992176]
2024-04-18 20:13:39,349 (preprocess-audio-files:74) INFO: Processing audio music-rfm-0084
2024-04-18 20:13:39,349 (preprocess-audio-files:94) INFO: utt m detected 69.224500/69.224500 secs (100.00 %) speech 
2024-04-18 20:13:39,402 (preprocess-audio-files:126) INFO: Packed audio music-rfm-0084 length=69.225 secs elapsed-time=244.22 ms. read-time=191.78 ms. write-time=52.44 ms. real-time-factor=283.45x-range=[-32164.457936-32766.560466]
2024-04-18 20:13:40,093 (preprocess-audio-files:74) INFO: Processing audio music-rfm-0085
2024-04-18 20:13:40,094 (preprocess-audio-files:94) INFO: utt m detected 176.875125/176.875125 secs (100.00 %) speech 
2024-04-18 20:13:40,230 (preprocess-audio-files:126) INFO: Packed audio music-rfm-0085 length=176.875 secs elapsed-time=828.06 ms. read-time=691.81 ms. write-time=136.25 ms. real-time-factor=213.60x-range=[-32773.257439-32564.748542]
2024-04-18 20:13:41,004 (preprocess-audio-files:74) INFO: Processing audio music-rfm-0086
2024-04-18 20:13:41,004 (preprocess-audio-files:94) INFO: utt m detected 167.208000/167.208000 secs (100.00 %) speech 
2024-04-18 20:13:41,151 (preprocess-audio-files:126) INFO: Packed audio music-rfm-0086 length=167.208 secs elapsed-time=920.80 ms. read-time=774.22 ms. write-time=146.58 ms. real-time-factor=181.59x-range=[-30949.139215-32764.916327]
2024-04-18 20:13:41,841 (preprocess-audio-files:74) INFO: Processing audio music-rfm-0087
2024-04-18 20:13:41,842 (preprocess-audio-files:94) INFO: utt m detected 145.763250/145.763250 secs (100.00 %) speech 
2024-04-18 20:13:41,966 (preprocess-audio-files:126) INFO: Packed audio music-rfm-0087 length=145.763 secs elapsed-time=814.61 ms. read-time=690.58 ms. write-time=124.03 ms. real-time-factor=178.94x-range=[-32766.042397-30597.023857]
2024-04-18 20:13:43,174 (preprocess-audio-files:74) INFO: Processing audio music-rfm-0088
2024-04-18 20:13:43,174 (preprocess-audio-files:94) INFO: utt m detected 169.080000/169.080000 secs (100.00 %) speech 
2024-04-18 20:13:43,294 (preprocess-audio-files:126) INFO: Packed audio music-rfm-0088 length=169.080 secs elapsed-time=1328.24 ms. read-time=1207.91 ms. write-time=120.33 ms. real-time-factor=127.30x-range=[-32765.959918-32302.054303]
2024-04-18 20:13:44,311 (preprocess-audio-files:74) INFO: Processing audio music-rfm-0089
2024-04-18 20:13:44,311 (preprocess-audio-files:94) INFO: utt m detected 153.443250/153.443250 secs (100.00 %) speech 
2024-04-18 20:13:44,418 (preprocess-audio-files:126) INFO: Packed audio music-rfm-0089 length=153.443 secs elapsed-time=1123.61 ms. read-time=1016.20 ms. write-time=107.41 ms. real-time-factor=136.56x-range=[-32766.004442-32401.006758]
2024-04-18 20:13:45,256 (preprocess-audio-files:74) INFO: Processing audio music-rfm-0090
2024-04-18 20:13:45,256 (preprocess-audio-files:94) INFO: utt m detected 186.331437/186.331437 secs (100.00 %) speech 
2024-04-18 20:13:45,388 (preprocess-audio-files:126) INFO: Packed audio music-rfm-0090 length=186.331 secs elapsed-time=969.61 ms. read-time=837.24 ms. write-time=132.37 ms. real-time-factor=192.17x-range=[-32766.014598-28078.128529]
2024-04-18 20:13:46,059 (preprocess-audio-files:74) INFO: Processing audio music-rfm-0091
